row_no,description,unit,rate,rate_2,rate_3,rate_4,rate_5,recommended,_source_file,_folder,_project
Project: SATTI_MALL,,,,,,,,,quotation_comparisons\SATTI_MALL_Quotation_Comparison_05.xlsx,quotation_comparisons,SATTI_MALL
Date: 03/07/06,,,,,,,,,quotation_comparisons\SATTI_MALL_Quotation_Comparison_05.xlsx,quotation_comparisons,SATTI_MALL
1,Class A Brick,1000,,14979.0,15673.0,13183.0,12766.0,Fazal Bricks & Tiles,quotation_comparisons\SATTI_MALL_Quotation_Comparison_05.xlsx,quotation_comparisons,SATTI_MALL
2,25KVA Genset,nos,971581.0,850023.0,840249.0,1069615.0,863048.0,Tariq & Sons Electricals,quotation_comparisons\SATTI_MALL_Quotation_Comparison_05.xlsx,quotation_comparisons,SATTI_MALL
3,PLYWD-12,sht,2164.0,2206.0,2422.0,2490.0,2031.0,Fazal Bricks & Tiles,quotation_comparisons\SATTI_MALL_Quotation_Comparison_05.xlsx,quotation_comparisons,SATTI_MALL
4,Enamel Wh.,tin,1704.0,1932.0,1880.0,1960.0,1798.0,Hafiz Glass & Aluminum,quotation_comparisons\SATTI_MALL_Quotation_Comparison_05.xlsx,quotation_comparisons,SATTI_MALL
5,"Cer.Tile 12""",sft,72.0,84.0,90.0,,82.0,,quotation_comparisons\SATTI_MALL_Quotation_Comparison_05.xlsx,quotation_comparisons,SATTI_MALL
6,PIP-GI2,rft,347.0,300.0,296.0,356.0,356.0,Tariq & Sons Electricals,quotation_comparisons\SATTI_MALL_Quotation_Comparison_05.xlsx,quotation_comparisons,SATTI_MALL
7,S.Bar 12mm,kg,137.0,127.0,123.0,142.0,149.0,Tariq & Sons Electricals,quotation_comparisons\SATTI_MALL_Quotation_Comparison_05.xlsx,quotation_comparisons,SATTI_MALL
8,6mm Clear Glass,sft,232.0,223.0,247.0,213.0,198.0,,quotation_comparisons\SATTI_MALL_Quotation_Comparison_05.xlsx,quotation_comparisons,SATTI_MALL
Prepared by:,PM,,,,,,,,quotation_comparisons\SATTI_MALL_Quotation_Comparison_05.xlsx,quotation_comparisons,SATTI_MALL
Approved by:,,,,,,,,,quotation_comparisons\SATTI_MALL_Quotation_Comparison_05.xlsx,quotation_comparisons,SATTI_MALL
