row_no,description,unit,rate,rate_2,rate_3,recommended,_source_file,_folder,_project
Project: SATTI_PLAZA,,,,,,,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_01.xlsx,quotation_comparisons,SATTI_PLAZA
Date: 03-08-2013,,,,,,,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_01.xlsx,quotation_comparisons,SATTI_PLAZA
1,WIRE-3/029,mtr,52.0,55.0,52.0,Metro Plumbing Supplies,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_01.xlsx,quotation_comparisons,SATTI_PLAZA
2,Class-A Red Brick,1000,14076.0,14561.0,15430.0,Metro Plumbing Supplies,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_01.xlsx,quotation_comparisons,SATTI_PLAZA
3,TILE-12X12,sft,87.0,,83.0,Tariq & Sons Electricals,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_01.xlsx,quotation_comparisons,SATTI_PLAZA
4,WIR-CP7,mtr,91.0,93.0,94.0,,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_01.xlsx,quotation_comparisons,SATTI_PLAZA
5,paint_oil_w,tin,1657.0,1784.0,1667.0,Metro Plumbing Supplies,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_01.xlsx,quotation_comparisons,SATTI_PLAZA
6,S.Bar 12mm,kg,140.0,124.0,143.0,Tariq & Sons Electricals,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_01.xlsx,quotation_comparisons,SATTI_PLAZA
7,GEN-25K,nos,1065449.0,1041742.0,1062295.0,Tariq & Sons Electricals,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_01.xlsx,quotation_comparisons,SATTI_PLAZA
8,"1"" GI Pipe",rft,190.0,160.0,200.0,Tariq & Sons Electricals,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_01.xlsx,quotation_comparisons,SATTI_PLAZA
9,OPC 50 KG,bag,889.0,1029.0,887.0,Bismillah Timber Mart,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_01.xlsx,quotation_comparisons,SATTI_PLAZA
10,rmc_m20,cft,388.0,,387.0,Bismillah Timber Mart,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_01.xlsx,quotation_comparisons,SATTI_PLAZA
11,Sand (Fine),cft,38.0,39.0,39.0,Metro Plumbing Supplies,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_01.xlsx,quotation_comparisons,SATTI_PLAZA
Prepared by:,PM,,,,,,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_01.xlsx,quotation_comparisons,SATTI_PLAZA
Approved by:,,,,,,,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_01.xlsx,quotation_comparisons,SATTI_PLAZA
