row_no,description,unit,rate,rate_2,rate_3,rate_4,rate_5,recommended,_source_file,_folder,_project
Project: SATTI_PLAZA,,,,,,,,,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_05.xlsx,quotation_comparisons,SATTI_PLAZA
"Date: May 07, 2013",,,,,,,,,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_05.xlsx,quotation_comparisons,SATTI_PLAZA
1,wire_3029,mtr,47.0,49.0,57.0,60.0,55.0,Allied Cables & Wires,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_05.xlsx,quotation_comparisons,SATTI_PLAZA
2,4ft Aluminum Window,nos,14884.0,15854.0,16478.0,15936.0,13611.0,Green Marble & Granite,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_05.xlsx,quotation_comparisons,SATTI_PLAZA
3,SND-RV,cft,33.0,33.0,,35.0,31.0,Green Marble & Granite,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_05.xlsx,quotation_comparisons,SATTI_PLAZA
4,SAN-WC,nos,12507.0,10903.0,11445.0,12685.0,11543.0,,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_05.xlsx,quotation_comparisons,SATTI_PLAZA
5,M20 Ready Mix Concrete,cft,433.0,471.0,417.0,360.0,472.0,Super Steel & Iron Works,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_05.xlsx,quotation_comparisons,SATTI_PLAZA
6,GENSET-25,nos,908790.0,936006.0,924262.0,959300.0,897869.0,Green Marble & Granite,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_05.xlsx,quotation_comparisons,SATTI_PLAZA
7,OIL-PAINT-W,tin,1792.0,1740.0,1862.0,1815.0,1965.0,Tariq & Sons Electricals,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_05.xlsx,quotation_comparisons,SATTI_PLAZA
8,GI PIPE 2IN,rft,347.0,306.0,338.0,287.0,353.0,Super Steel & Iron Works,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_05.xlsx,quotation_comparisons,SATTI_PLAZA
9,Bajri 3/4,cft,51.0,50.0,55.0,51.0,48.0,Green Marble & Granite,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_05.xlsx,quotation_comparisons,SATTI_PLAZA
10,"G.I.Pipe 1""",rft,173.0,157.0,187.0,194.0,178.0,Tariq & Sons Electricals,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_05.xlsx,quotation_comparisons,SATTI_PLAZA
11,6mm_glass,sft,243.0,235.0,190.0,248.0,188.0,Green Marble & Granite,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_05.xlsx,quotation_comparisons,SATTI_PLAZA
Prepared by:,Asif,,,,,,,,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_05.xlsx,quotation_comparisons,SATTI_PLAZA
Approved by:,,,,,,,,,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_05.xlsx,quotation_comparisons,SATTI_PLAZA
