row_no,description,unit,rate,rate_2,rate_3,rate_4,recommended,_source_file,_folder,_project
Project: SATTI_PLAZA,,,,,,,,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_07.xlsx,quotation_comparisons,SATTI_PLAZA
Date: 2011/05/06,,,,,,,,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_07.xlsx,quotation_comparisons,SATTI_PLAZA
1,floor_tile_12,sft,89.0,85.0,92.0,93.0,Tariq & Sons Electricals,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_07.xlsx,quotation_comparisons,SATTI_PLAZA
2,paint_oil_w,tin,1868.0,1812.0,2041.0,1775.0,,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_07.xlsx,quotation_comparisons,SATTI_PLAZA
3,AGG-CRS34,cft,61.0,,60.0,52.0,Crown Cement Pvt Ltd,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_07.xlsx,quotation_comparisons,SATTI_PLAZA
4,GLS-CLR6,sft,219.0,249.0,225.0,238.0,Super Steel & Iron Works,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_07.xlsx,quotation_comparisons,SATTI_PLAZA
5,river_sand,cft,32.0,35.0,30.0,37.0,Karachi Sanitary Depot,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_07.xlsx,quotation_comparisons,SATTI_PLAZA
6,ALU-WIN4,nos,14634.0,14758.0,14508.0,14174.0,Crown Cement Pvt Ltd,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_07.xlsx,quotation_comparisons,SATTI_PLAZA
7,Armoured Cable 95,mtr,,823.0,828.0,844.0,Tariq & Sons Electricals,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_07.xlsx,quotation_comparisons,SATTI_PLAZA
Prepared by:,,,,,,,,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_07.xlsx,quotation_comparisons,SATTI_PLAZA
Approved by:,,,,,,,,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_07.xlsx,quotation_comparisons,SATTI_PLAZA
