row_no,description,unit,rate,rate_2,rate_3,recommended,_source_file,_folder,_project,rate_4,rate_5
Project: SATTI_APTS,,,,,,,quotation_comparisons\SATTI_APTS_Quotation_Comparison_01.xlsx,quotation_comparisons,SATTI_APTS,,
Date: 05-Sep-2017,,,,,,,quotation_comparisons\SATTI_APTS_Quotation_Comparison_01.xlsx,quotation_comparisons,SATTI_APTS,,
1,3/0.029 Copper Wire,mtr,49.0,47.0,53.0,Hafiz Glass & Aluminum,quotation_comparisons\SATTI_APTS_Quotation_Comparison_01.xlsx,quotation_comparisons,SATTI_APTS,,
2,Red Brick A-Grade,1000,12928.0,11958.0,13698.0,,quotation_comparisons\SATTI_APTS_Quotation_Comparison_01.xlsx,quotation_comparisons,SATTI_APTS,,
3,S.Bar 12mm,kg,125.0,128.0,122.0,Pioneer Generators Ltd,quotation_comparisons\SATTI_APTS_Quotation_Comparison_01.xlsx,quotation_comparisons,SATTI_APTS,,
4,PLYWD-12,sht,1900.0,2417.0,2069.0,Karachi Sanitary Depot,quotation_comparisons\SATTI_APTS_Quotation_Comparison_01.xlsx,quotation_comparisons,SATTI_APTS,,
5,GLS-CLR6,sft,228.0,245.0,232.0,Karachi Sanitary Depot,quotation_comparisons\SATTI_APTS_Quotation_Comparison_01.xlsx,quotation_comparisons,SATTI_APTS,,
6,GI PIPE 2IN,rft,322.0,324.0,343.0,Karachi Sanitary Depot,quotation_comparisons\SATTI_APTS_Quotation_Comparison_01.xlsx,quotation_comparisons,SATTI_APTS,,
7,gen_25kva,nos,871700.0,867682.0,890971.0,Hafiz Glass & Aluminum,quotation_comparisons\SATTI_APTS_Quotation_Comparison_01.xlsx,quotation_comparisons,SATTI_APTS,,
8,CEMENT-50,bag,1027.0,835.0,1015.0,,quotation_comparisons\SATTI_APTS_Quotation_Comparison_01.xlsx,quotation_comparisons,SATTI_APTS,,
9,Sand (Fine),cft,37.0,37.0,36.0,Pioneer Generators Ltd,quotation_comparisons\SATTI_APTS_Quotation_Comparison_01.xlsx,quotation_comparisons,SATTI_APTS,,
10,CBL-ARM95,mtr,894.0,733.0,814.0,Hafiz Glass & Aluminum,quotation_comparisons\SATTI_APTS_Quotation_Comparison_01.xlsx,quotation_comparisons,SATTI_APTS,,
Prepared by:,,,,,,,quotation_comparisons\SATTI_APTS_Quotation_Comparison_01.xlsx,quotation_comparisons,SATTI_APTS,,
Approved by:,,,,,,,quotation_comparisons\SATTI_APTS_Quotation_Comparison_01.xlsx,quotation_comparisons,SATTI_APTS,,
Project: SATTI_APTS,,,,,,,quotation_comparisons\SATTI_APTS_Quotation_Comparison_02.xlsx,quotation_comparisons,SATTI_APTS,,
Date: 07/04/2015,,,,,,,quotation_comparisons\SATTI_APTS_Quotation_Comparison_02.xlsx,quotation_comparisons,SATTI_APTS,,
1,ALU-WIN4,nos,12563.0,13741.0,,Karachi Sanitary Depot,quotation_comparisons\SATTI_APTS_Quotation_Comparison_02.xlsx,quotation_comparisons,SATTI_APTS,14235.0,
2,Reti (River),cft,31.0,36.0,32.0,Karachi Sanitary Depot,quotation_comparisons\SATTI_APTS_Quotation_Comparison_02.xlsx,quotation_comparisons,SATTI_APTS,38.0,
3,ply_mr_12mm,sht,2292.0,2192.0,2237.0,Pioneer Generators Ltd,quotation_comparisons\SATTI_APTS_Quotation_Comparison_02.xlsx,quotation_comparisons,SATTI_APTS,2297.0,
4,BRK-A,1000,14639.0,13315.0,15818.0,Bismillah Timber Mart,quotation_comparisons\SATTI_APTS_Quotation_Comparison_02.xlsx,quotation_comparisons,SATTI_APTS,13067.0,
5,WIRE-3/029,mtr,61.0,54.0,52.0,Bismillah Timber Mart,quotation_comparisons\SATTI_APTS_Quotation_Comparison_02.xlsx,quotation_comparisons,SATTI_APTS,51.0,
6,REBAR-12MM,kg,148.0,130.0,134.0,Pioneer Generators Ltd,quotation_comparisons\SATTI_APTS_Quotation_Comparison_02.xlsx,quotation_comparisons,SATTI_APTS,139.0,
7,95mm² Armoured Cable,mtr,891.0,926.0,778.0,Allied Cables & Wires,quotation_comparisons\SATTI_APTS_Quotation_Comparison_02.xlsx,quotation_comparisons,SATTI_APTS,841.0,
8,Ready Mix M20,cft,374.0,459.0,413.0,Karachi Sanitary Depot,quotation_comparisons\SATTI_APTS_Quotation_Comparison_02.xlsx,quotation_comparisons,SATTI_APTS,474.0,
9,"G.I.Pipe 1""",rft,189.0,196.0,189.0,Bismillah Timber Mart,quotation_comparisons\SATTI_APTS_Quotation_Comparison_02.xlsx,quotation_comparisons,SATTI_APTS,167.0,
10,rebar 5/8 inch,kg,,,134.0,Pioneer Generators Ltd,quotation_comparisons\SATTI_APTS_Quotation_Comparison_02.xlsx,quotation_comparisons,SATTI_APTS,142.0,
11,PIP-GI2,rft,341.0,287.0,327.0,Pioneer Generators Ltd,quotation_comparisons\SATTI_APTS_Quotation_Comparison_02.xlsx,quotation_comparisons,SATTI_APTS,342.0,
Prepared by:,Site Engineer,,,,,,quotation_comparisons\SATTI_APTS_Quotation_Comparison_02.xlsx,quotation_comparisons,SATTI_APTS,,
Approved by:,,,,,,,quotation_comparisons\SATTI_APTS_Quotation_Comparison_02.xlsx,quotation_comparisons,SATTI_APTS,,
Project: SATTI_APTS,,,,,,,quotation_comparisons\SATTI_APTS_Quotation_Comparison_03.xlsx,quotation_comparisons,SATTI_APTS,,
Date: 11.03.2017,,,,,,,quotation_comparisons\SATTI_APTS_Quotation_Comparison_03.xlsx,quotation_comparisons,SATTI_APTS,,
