month,date,date_2,unit,amount,late_fee,total_paid,date_3,remarks,_source_file,_folder,_project
Apr-2011,2011-04-07,2011-04-28,1378,33658.0,,33658.0,2011-05-23,,utility_bills\SATTI_PLAZA_IESCO_Bills.xlsx,utility_bills,SATTI_PLAZA
May-2011,2011-05-13,2011-06-03,12309,172318.0,,172318.0,2011-06-21,Late Payment,utility_bills\SATTI_PLAZA_IESCO_Bills.xlsx,utility_bills,SATTI_PLAZA
Jun-2011,2011-06-04,2011-06-25,2078,49833.0,,49833.0,2011-06-24,,utility_bills\SATTI_PLAZA_IESCO_Bills.xlsx,utility_bills,SATTI_PLAZA
Jul-2011,2011-07-14,2011-08-04,11610,235328.0,,235328.0,2011-08-11,Paid,utility_bills\SATTI_PLAZA_IESCO_Bills.xlsx,utility_bills,SATTI_PLAZA
Aug-2011,2011-08-12,2011-09-02,4089,73303.0,,73303.0,2011-08-31,Late Payment,utility_bills\SATTI_PLAZA_IESCO_Bills.xlsx,utility_bills,SATTI_PLAZA
Sep-2011,2011-09-05,2011-09-26,TBD,90872.0,,90872.0,2011-10-23,Disputed,utility_bills\SATTI_PLAZA_IESCO_Bills.xlsx,utility_bills,SATTI_PLAZA
Oct-2011,2011-10-04,2011-10-25,3186,73948.0,3697,77645.0,2011-10-25,Late Payment,utility_bills\SATTI_PLAZA_IESCO_Bills.xlsx,utility_bills,SATTI_PLAZA
Nov-2011,2011-11-13,2011-12-04,7650,153845.0,,153845.0,2011-12-09,Late Payment,utility_bills\SATTI_PLAZA_IESCO_Bills.xlsx,utility_bills,SATTI_PLAZA
Dec-2011,2011-12-15,2012-01-05,12599,308851.0,,308851.0,2012-01-19,Disputed,utility_bills\SATTI_PLAZA_IESCO_Bills.xlsx,utility_bills,SATTI_PLAZA
Jan-2012,2012-01-05,2012-01-26,13507,161931.0,,161931.0,2012-01-30,Disputed,utility_bills\SATTI_PLAZA_IESCO_Bills.xlsx,utility_bills,SATTI_PLAZA
