row_no,item_code,description,unit,unit_2,nan,_source_file,_folder,_project
Al-Rehman Hardware,,,,,,vendor_price_lists\V002_Al-Rehman_Hardware_PriceList.xlsx,vendor_price_lists,SATTI_MALL
Contact: 03111234567   City: Rawalpindi,,,,,,vendor_price_lists\V002_Al-Rehman_Hardware_PriceList.xlsx,vendor_price_lists,SATTI_MALL
Date: 18/08/2012,,,,,,vendor_price_lists\V002_Al-Rehman_Hardware_PriceList.xlsx,vendor_price_lists,SATTI_MALL
1,GEN-25K,GEN-25K,nos,995529,,vendor_price_lists\V002_Al-Rehman_Hardware_PriceList.xlsx,vendor_price_lists,SATTI_MALL
2,REBAR 1/2 INCH,STL-RB12,kg,147,subject to change,vendor_price_lists\V002_Al-Rehman_Hardware_PriceList.xlsx,vendor_price_lists,SATTI_MALL
3,PLY_MR_12MM,ply_mr_12mm,sht,2116,ex-works,vendor_price_lists\V002_Al-Rehman_Hardware_PriceList.xlsx,vendor_price_lists,SATTI_MALL
4,4FT ALUMINUM WINDOW,ALU-WIN4,nos,14884,,vendor_price_lists\V002_Al-Rehman_Hardware_PriceList.xlsx,vendor_price_lists,SATTI_MALL
5,MRB-IMP,MRB-IMP-W,sft,PKR 592,inclusive GST,vendor_price_lists\V002_Al-Rehman_Hardware_PriceList.xlsx,vendor_price_lists,SATTI_MALL
6,S.BAR 16MM,rebar 5/8 inch,kg,128.0,negotiable,vendor_price_lists\V002_Al-Rehman_Hardware_PriceList.xlsx,vendor_price_lists,SATTI_MALL
7,RETI (RIVER),Reti (River),cft,32/-,ex-works,vendor_price_lists\V002_Al-Rehman_Hardware_PriceList.xlsx,vendor_price_lists,SATTI_MALL
8,CERAMIC FLOOR TILE 12X12,"Tile 12x12""",sft,89,,vendor_price_lists\V002_Al-Rehman_Hardware_PriceList.xlsx,vendor_price_lists,SATTI_MALL
9,AGG-CRS-34,AGG-CRS34,cft,50,,vendor_price_lists\V002_Al-Rehman_Hardware_PriceList.xlsx,vendor_price_lists,SATTI_MALL
10,BRK-A,Class-A Red Brick,1000,13761,negotiable,vendor_price_lists\V002_Al-Rehman_Hardware_PriceList.xlsx,vendor_price_lists,SATTI_MALL
11,M20 CONCRETE,M20 Ready Mix Concrete,cft,479,bulk discount avail.,vendor_price_lists\V002_Al-Rehman_Hardware_PriceList.xlsx,vendor_price_lists,SATTI_MALL
12,ARMOURED CABLE 95,CBL-ARM95,mtr,943,,vendor_price_lists\V002_Al-Rehman_Hardware_PriceList.xlsx,vendor_price_lists,SATTI_MALL
13,GLASS-6MM,Clear Glass 6,sft,206,subject to change,vendor_price_lists\V002_Al-Rehman_Hardware_PriceList.xlsx,vendor_price_lists,SATTI_MALL
14,WIRE_3029,Copper Wire 3/.029,mtr,49,,vendor_price_lists\V002_Al-Rehman_Hardware_PriceList.xlsx,vendor_price_lists,SATTI_MALL
15,W.C. STD.,WC-STD,nos,10839,negotiable,vendor_price_lists\V002_Al-Rehman_Hardware_PriceList.xlsx,vendor_price_lists,SATTI_MALL
16,COPWIRE7,WIR-COP-7,mtr,TBD,negotiable,vendor_price_lists\V002_Al-Rehman_Hardware_PriceList.xlsx,vendor_price_lists,SATTI_MALL
17,"G.I.PIPE 1""","1"" GI Pipe",rft,204,negotiable,vendor_price_lists\V002_Al-Rehman_Hardware_PriceList.xlsx,vendor_price_lists,SATTI_MALL
18,CEMENT BAG 50KG,cem_opc_50,bag,974,inclusive GST,vendor_price_lists\V002_Al-Rehman_Hardware_PriceList.xlsx,vendor_price_lists,SATTI_MALL
