row_no,item_code,description,unit,rate,remarks,_source_file,_folder,_project
Crown Cement Pvt Ltd,,,,,,vendor_price_lists\V003_Crown_Cement_Pvt_Ltd_PriceList.xlsx,vendor_price_lists,SATTI_MALL
Contact: 03211234567   City: Islamabad,,,,,,vendor_price_lists\V003_Crown_Cement_Pvt_Ltd_PriceList.xlsx,vendor_price_lists,SATTI_MALL
Date: 2010/12/16,,,,,,vendor_price_lists\V003_Crown_Cement_Pvt_Ltd_PriceList.xlsx,vendor_price_lists,SATTI_MALL
1,WIR-CP3,WIRE-3/029,mtr,49.0,negotiable,vendor_price_lists\V003_Crown_Cement_Pvt_Ltd_PriceList.xlsx,vendor_price_lists,SATTI_MALL
2,SND-RV,Sand (Fine),cft,33.0,bulk discount avail.,vendor_price_lists\V003_Crown_Cement_Pvt_Ltd_PriceList.xlsx,vendor_price_lists,SATTI_MALL
3,6MM CLEAR GLASS,GLS-CLR-6,sft,229.0,,vendor_price_lists\V003_Crown_Cement_Pvt_Ltd_PriceList.xlsx,vendor_price_lists,SATTI_MALL
4,RMC_M20,RMC-M20,cft,377.0,subject to change,vendor_price_lists\V003_Crown_Cement_Pvt_Ltd_PriceList.xlsx,vendor_price_lists,SATTI_MALL
5,STL-RB-12,S.Bar 12mm,kg,146.0,bulk discount avail.,vendor_price_lists\V003_Crown_Cement_Pvt_Ltd_PriceList.xlsx,vendor_price_lists,SATTI_MALL
6,PLYWOOD 12MM MR,PLY-MR12,sht,1898.0,bulk discount avail.,vendor_price_lists\V003_Crown_Cement_Pvt_Ltd_PriceList.xlsx,vendor_price_lists,SATTI_MALL
7,WC-STD,SAN-WC,nos,13183.0,inclusive GST,vendor_price_lists\V003_Crown_Cement_Pvt_Ltd_PriceList.xlsx,vendor_price_lists,SATTI_MALL
8,COPPER WIRE 7/.029,CopWire7,mtr,102.0,,vendor_price_lists\V003_Crown_Cement_Pvt_Ltd_PriceList.xlsx,vendor_price_lists,SATTI_MALL
9,AGG-CRS34,Bajri 3/4,cft,47.0,inclusive GST,vendor_price_lists\V003_Crown_Cement_Pvt_Ltd_PriceList.xlsx,vendor_price_lists,SATTI_MALL
10,AC-95SQ,AC-95sq,mtr,929.0,bulk discount avail.,vendor_price_lists\V003_Crown_Cement_Pvt_Ltd_PriceList.xlsx,vendor_price_lists,SATTI_MALL
11,STL-RB-16,rebar 5/8 inch,kg,128.0,ex-works,vendor_price_lists\V003_Crown_Cement_Pvt_Ltd_PriceList.xlsx,vendor_price_lists,SATTI_MALL
