row_no,item_code,description,unit,unit_2,nan,_source_file,_folder,_project
Fazal Bricks & Tiles,,,,,,vendor_price_lists\V007_Fazal_Bricks_&_Tiles_PriceList.xlsx,vendor_price_lists,SATTI_MALL
Contact: 03611234567   City: Rawalpindi,,,,,,vendor_price_lists\V007_Fazal_Bricks_&_Tiles_PriceList.xlsx,vendor_price_lists,SATTI_MALL
Date: 13/06/2010,,,,,,vendor_price_lists\V007_Fazal_Bricks_&_Tiles_PriceList.xlsx,vendor_price_lists,SATTI_MALL
1,CLEAR GLASS 6,6mm_glass,sft,227,,vendor_price_lists\V007_Fazal_Bricks_&_Tiles_PriceList.xlsx,vendor_price_lists,SATTI_MALL
2,BAJRI 3/4,AGG-CRS34,cft,53,inclusive GST,vendor_price_lists\V007_Fazal_Bricks_&_Tiles_PriceList.xlsx,vendor_price_lists,SATTI_MALL
3,WC-STD,toilet_std,nos,10663,,vendor_price_lists\V007_Fazal_Bricks_&_Tiles_PriceList.xlsx,vendor_price_lists,SATTI_MALL
4,RIVER_SAND,SND-RV,cft,37,ex-works,vendor_price_lists\V007_Fazal_Bricks_&_Tiles_PriceList.xlsx,vendor_price_lists,SATTI_MALL
5,WIRE-7/029,WIR-CP7,mtr,92,subject to change,vendor_price_lists\V007_Fazal_Bricks_&_Tiles_PriceList.xlsx,vendor_price_lists,SATTI_MALL
6,COPWIRE3,WIRE-3/029,mtr,54,inclusive GST,vendor_price_lists\V007_Fazal_Bricks_&_Tiles_PriceList.xlsx,vendor_price_lists,SATTI_MALL
7,TILE-12X12,TILE-12X12,sft,78,inclusive GST,vendor_price_lists\V007_Fazal_Bricks_&_Tiles_PriceList.xlsx,vendor_price_lists,SATTI_MALL
8,"A.WIN 4""",ALM-W4,nos,13158,inclusive GST,vendor_price_lists\V007_Fazal_Bricks_&_Tiles_PriceList.xlsx,vendor_price_lists,SATTI_MALL
9,GI_PIPE_2INCH,gi_pipe_2inch,rft,290.0,,vendor_price_lists\V007_Fazal_Bricks_&_Tiles_PriceList.xlsx,vendor_price_lists,SATTI_MALL
10,OIL-PAINT-W,Oil Paint (White) 4Ltr,tin,1912.0,,vendor_price_lists\V007_Fazal_Bricks_&_Tiles_PriceList.xlsx,vendor_price_lists,SATTI_MALL
11,GALVPIPE-1,PIP-GI1,rft,187,,vendor_price_lists\V007_Fazal_Bricks_&_Tiles_PriceList.xlsx,vendor_price_lists,SATTI_MALL
12,WHITE MARBLE IMP.,White Marble Imp.,sft,TBD,,vendor_price_lists\V007_Fazal_Bricks_&_Tiles_PriceList.xlsx,vendor_price_lists,SATTI_MALL
13,GEN-25KVA,25 KVA Generator,nos,"921,702/-",subject to change,vendor_price_lists\V007_Fazal_Bricks_&_Tiles_PriceList.xlsx,vendor_price_lists,SATTI_MALL
14,M20 CONCRETE,RMC-M20,cft,368,negotiable,vendor_price_lists\V007_Fazal_Bricks_&_Tiles_PriceList.xlsx,vendor_price_lists,SATTI_MALL
15,STEEL BAR 16,STL-RB16,kg,152,ex-works,vendor_price_lists\V007_Fazal_Bricks_&_Tiles_PriceList.xlsx,vendor_price_lists,SATTI_MALL
16,REBAR 1/2 INCH,REBAR-12MM,kg,133/-,subject to change,vendor_price_lists\V007_Fazal_Bricks_&_Tiles_PriceList.xlsx,vendor_price_lists,SATTI_MALL
17,CEM_OPC_50,CEM-OPC50,bag,883/-,,vendor_price_lists\V007_Fazal_Bricks_&_Tiles_PriceList.xlsx,vendor_price_lists,SATTI_MALL
18,PLYWOOD 12MM MR,PLY-MR-12,sht,2167,inclusive GST,vendor_price_lists\V007_Fazal_Bricks_&_Tiles_PriceList.xlsx,vendor_price_lists,SATTI_MALL
19,ARMD-CBL-95,AC-95sq,mtr,942/-,,vendor_price_lists\V007_Fazal_Bricks_&_Tiles_PriceList.xlsx,vendor_price_lists,SATTI_MALL
