row_no,item_code,description,unit,rate,remarks,_source_file,_folder,_project
Siemens Pakistan (Electro),,,,,,vendor_price_lists\V008_Siemens_Pakistan_(Electro)_PriceList.xlsx,vendor_price_lists,SATTI_MALL
Contact: 03711234567   City: Islamabad,,,,,,vendor_price_lists\V008_Siemens_Pakistan_(Electro)_PriceList.xlsx,vendor_price_lists,SATTI_MALL
"Date: March 25, 2018",,,,,,vendor_price_lists\V008_Siemens_Pakistan_(Electro)_PriceList.xlsx,vendor_price_lists,SATTI_MALL
1,GENERATOR 25KVA,GENSET-25,nos,814871.0,subject to change,vendor_price_lists\V008_Siemens_Pakistan_(Electro)_PriceList.xlsx,vendor_price_lists,SATTI_MALL
2,CBL-ARM-95,AC-95sq,mtr,932.0,bulk discount avail.,vendor_price_lists\V008_Siemens_Pakistan_(Electro)_PriceList.xlsx,vendor_price_lists,SATTI_MALL
3,"A.WIN 4""",Alum Window 4ft,nos,,negotiable,vendor_price_lists\V008_Siemens_Pakistan_(Electro)_PriceList.xlsx,vendor_price_lists,SATTI_MALL
4,GLS-CLR-6,Clear Glass 6,sft,210.0,subject to change,vendor_price_lists\V008_Siemens_Pakistan_(Electro)_PriceList.xlsx,vendor_price_lists,SATTI_MALL
5,CEMENT BAG 50KG,cem_opc_50,bag,949.0,ex-works,vendor_price_lists\V008_Siemens_Pakistan_(Electro)_PriceList.xlsx,vendor_price_lists,SATTI_MALL
6,COPPER WIRE 3/.029,3/0.029 Copper Wire,mtr,52.0,bulk discount avail.,vendor_price_lists\V008_Siemens_Pakistan_(Electro)_PriceList.xlsx,vendor_price_lists,SATTI_MALL
7,STL-RB-12,S.Bar 12mm,kg,144.0,,vendor_price_lists\V008_Siemens_Pakistan_(Electro)_PriceList.xlsx,vendor_price_lists,SATTI_MALL
8,"G.I.PIPE 1""",GalvPipe-1,rft,177.0,inclusive GST,vendor_price_lists\V008_Siemens_Pakistan_(Electro)_PriceList.xlsx,vendor_price_lists,SATTI_MALL
9,WHITE OIL PAINT 4L,Enamel Wh.,tin,1792.0,subject to change,vendor_price_lists\V008_Siemens_Pakistan_(Electro)_PriceList.xlsx,vendor_price_lists,SATTI_MALL
10,SND-RV,SAND-RIVER,cft,36.0,,vendor_price_lists\V008_Siemens_Pakistan_(Electro)_PriceList.xlsx,vendor_price_lists,SATTI_MALL
