row_no,item_code,description,unit,rate,remarks,_source_file,_folder,_project
Bismillah Timber Mart,,,,,,vendor_price_lists\V009_Bismillah_Timber_Mart_PriceList.xlsx,vendor_price_lists,SATTI_MALL
Contact: 03811234567   City: Rawalpindi,,,,,,vendor_price_lists\V009_Bismillah_Timber_Mart_PriceList.xlsx,vendor_price_lists,SATTI_MALL
Date: 09/05/2015,,,,,,vendor_price_lists\V009_Bismillah_Timber_Mart_PriceList.xlsx,vendor_price_lists,SATTI_MALL
1,W.C. STD.,Commode Standard,nos,13870.0,ex-works,vendor_price_lists\V009_Bismillah_Timber_Mart_PriceList.xlsx,vendor_price_lists,SATTI_MALL
2,MR PLY 12,Plywood 12mm MR,sht,2171.0,,vendor_price_lists\V009_Bismillah_Timber_Mart_PriceList.xlsx,vendor_price_lists,SATTI_MALL
3,25KVA GENSET,GEN-25K,nos,1051464.0,inclusive GST,vendor_price_lists\V009_Bismillah_Timber_Mart_PriceList.xlsx,vendor_price_lists,SATTI_MALL
4,COPPER WIRE 7/.029,Copper Wire 7/.029,mtr,109.0,subject to change,vendor_price_lists\V009_Bismillah_Timber_Mart_PriceList.xlsx,vendor_price_lists,SATTI_MALL
5,STL-RB-12,STL-RB12,kg,130.0,bulk discount avail.,vendor_price_lists\V009_Bismillah_Timber_Mart_PriceList.xlsx,vendor_price_lists,SATTI_MALL
6,AGG-CRS-34,coarse agg,cft,62.0,,vendor_price_lists\V009_Bismillah_Timber_Mart_PriceList.xlsx,vendor_price_lists,SATTI_MALL
7,PAI-OIL,Oil Paint (White) 4Ltr,tin,1784.0,inclusive GST,vendor_price_lists\V009_Bismillah_Timber_Mart_PriceList.xlsx,vendor_price_lists,SATTI_MALL
8,GLS-CLR-6,GLASS-6MM,sft,243.0,ex-works,vendor_price_lists\V009_Bismillah_Timber_Mart_PriceList.xlsx,vendor_price_lists,SATTI_MALL
9,COPPER WIRE 3/.029,CopWire3,mtr,47.0,subject to change,vendor_price_lists\V009_Bismillah_Timber_Mart_PriceList.xlsx,vendor_price_lists,SATTI_MALL
10,CNC-M20,rmc_m20,cft,368.0,bulk discount avail.,vendor_price_lists\V009_Bismillah_Timber_Mart_PriceList.xlsx,vendor_price_lists,SATTI_MALL
