row_no,item_code,description,unit,rate,valid_till,_source_file,_folder,_project
Karachi Sanitary Depot,,,,,,vendor_price_lists\V012_Karachi_Sanitary_Depot_PriceList.xlsx,vendor_price_lists,SATTI_MALL
Contact: 03111112233   City: Karachi,,,,,,vendor_price_lists\V012_Karachi_Sanitary_Depot_PriceList.xlsx,vendor_price_lists,SATTI_MALL
"Date: September 14, 2017",,,,,,vendor_price_lists\V012_Karachi_Sanitary_Depot_PriceList.xlsx,vendor_price_lists,SATTI_MALL
1,WIR-CP7,CopWire7,mtr,84.0,inclusive GST,vendor_price_lists\V012_Karachi_Sanitary_Depot_PriceList.xlsx,vendor_price_lists,SATTI_MALL
2,SHEESHA 6MM,6mm_glass,sft,207.0,negotiable,vendor_price_lists\V012_Karachi_Sanitary_Depot_PriceList.xlsx,vendor_price_lists,SATTI_MALL
3,SAN-WC,SAN-WC,nos,13491.0,,vendor_price_lists\V012_Karachi_Sanitary_Depot_PriceList.xlsx,vendor_price_lists,SATTI_MALL
4,ALM-W4,ALM-W4,nos,13979.0,negotiable,vendor_price_lists\V012_Karachi_Sanitary_Depot_PriceList.xlsx,vendor_price_lists,SATTI_MALL
5,IMPORTED WHITE MARBLE,MAR-W-IMP,sft,659.0,ex-works,vendor_price_lists\V012_Karachi_Sanitary_Depot_PriceList.xlsx,vendor_price_lists,SATTI_MALL
6,GI PIPE 1IN,gi_pipe_1inch,rft,176.0,subject to change,vendor_price_lists\V012_Karachi_Sanitary_Depot_PriceList.xlsx,vendor_price_lists,SATTI_MALL
7,AGG-CRS-34,GRAVEL-3/4,cft,50.0,ex-works,vendor_price_lists\V012_Karachi_Sanitary_Depot_PriceList.xlsx,vendor_price_lists,SATTI_MALL
