row_no,item_code,description,unit,rate,remarks,_source_file,_folder,_project
Hafiz Glass & Aluminum,,,,,,vendor_price_lists\V013_Hafiz_Glass_&_Aluminum_PriceList.xlsx,vendor_price_lists,SATTI_MALL
Contact: 03211112233   City: Rawalpindi,,,,,,vendor_price_lists\V013_Hafiz_Glass_&_Aluminum_PriceList.xlsx,vendor_price_lists,SATTI_MALL
Date: 18/10/14,,,,,,vendor_price_lists\V013_Hafiz_Glass_&_Aluminum_PriceList.xlsx,vendor_price_lists,SATTI_MALL
1,COPPER WIRE 7/.029,Copper Wire 7/.029,mtr,102.0,ex-works,vendor_price_lists\V013_Hafiz_Glass_&_Aluminum_PriceList.xlsx,vendor_price_lists,SATTI_MALL
2,GALVPIPE-1,GalvPipe-1,rft,206.0,subject to change,vendor_price_lists\V013_Hafiz_Glass_&_Aluminum_PriceList.xlsx,vendor_price_lists,SATTI_MALL
3,RETI (RIVER),Reti (River),cft,36.0,negotiable,vendor_price_lists\V013_Hafiz_Glass_&_Aluminum_PriceList.xlsx,vendor_price_lists,SATTI_MALL
4,GRAVEL-3/4,Bajri 3/4,cft,54.0,bulk discount avail.,vendor_price_lists\V013_Hafiz_Glass_&_Aluminum_PriceList.xlsx,vendor_price_lists,SATTI_MALL
5,CEM-OPC-50,OPC 50 KG,bag,977.0,negotiable,vendor_price_lists\V013_Hafiz_Glass_&_Aluminum_PriceList.xlsx,vendor_price_lists,SATTI_MALL
6,ALM-WIN-4,Alum Window 4ft,nos,16279.0,,vendor_price_lists\V013_Hafiz_Glass_&_Aluminum_PriceList.xlsx,vendor_price_lists,SATTI_MALL
7,TIL-CER12,Ceramic Floor Tile 12x12,sft,84.0,bulk discount avail.,vendor_price_lists\V013_Hafiz_Glass_&_Aluminum_PriceList.xlsx,vendor_price_lists,SATTI_MALL
8,MR PLY 12,ply_mr_12mm,sht,1984.0,ex-works,vendor_price_lists\V013_Hafiz_Glass_&_Aluminum_PriceList.xlsx,vendor_price_lists,SATTI_MALL
