row_no,item_code,description,unit,unit_2,,_source_file,_folder,_project
Pioneer Generators Ltd,,,,,,vendor_price_lists\V014_Pioneer_Generators_Ltd_PriceList.xlsx,vendor_price_lists,SATTI_MALL
Contact: 03311112233   City: Lahore,,,,,,vendor_price_lists\V014_Pioneer_Generators_Ltd_PriceList.xlsx,vendor_price_lists,SATTI_MALL
Date: 24-Jul-2008,,,,,,vendor_price_lists\V014_Pioneer_Generators_Ltd_PriceList.xlsx,vendor_price_lists,SATTI_MALL
1,MARBLE WHT,Imported White Marble,sft,641,bulk discount avail.,vendor_price_lists\V014_Pioneer_Generators_Ltd_PriceList.xlsx,vendor_price_lists,SATTI_MALL
2,"C.AGG 3/4""","C.Agg 3/4""",cft,63,,vendor_price_lists\V014_Pioneer_Generators_Ltd_PriceList.xlsx,vendor_price_lists,SATTI_MALL
3,OIL-PAINT-W,Oil Paint (White) 4Ltr,tin,TBD,,vendor_price_lists\V014_Pioneer_Generators_Ltd_PriceList.xlsx,vendor_price_lists,SATTI_MALL
4,WIR-CP3,WIR-CP3,mtr,,inclusive GST,vendor_price_lists\V014_Pioneer_Generators_Ltd_PriceList.xlsx,vendor_price_lists,SATTI_MALL
5,FLOOR_TILE_12,"Tile 12x12""",sft,PKR 95,inclusive GST,vendor_price_lists\V014_Pioneer_Generators_Ltd_PriceList.xlsx,vendor_price_lists,SATTI_MALL
6,OPC 50 KG,Cement Bag 50Kg,bag,TBD,subject to change,vendor_price_lists\V014_Pioneer_Generators_Ltd_PriceList.xlsx,vendor_price_lists,SATTI_MALL
7,GEN-25K,gen_25kva,nos,932237,subject to change,vendor_price_lists\V014_Pioneer_Generators_Ltd_PriceList.xlsx,vendor_price_lists,SATTI_MALL
