row_no,item_code,description,unit,rate,valid_till,_source_file,_folder,_project
Allied Cables & Wires,,,,,,vendor_price_lists\V015_Allied_Cables_&_Wires_PriceList.xlsx,vendor_price_lists,SATTI_MALL
Contact: 03411112233   City: Rawalpindi,,,,,,vendor_price_lists\V015_Allied_Cables_&_Wires_PriceList.xlsx,vendor_price_lists,SATTI_MALL
Date: 24/05/11,,,,,,vendor_price_lists\V015_Allied_Cables_&_Wires_PriceList.xlsx,vendor_price_lists,SATTI_MALL
1,RMC_M20,M20 Concrete,cft,464.0,bulk discount avail.,vendor_price_lists\V015_Allied_Cables_&_Wires_PriceList.xlsx,vendor_price_lists,SATTI_MALL
2,COARSE AGG,AGG-CRS34,cft,60.0,,vendor_price_lists\V015_Allied_Cables_&_Wires_PriceList.xlsx,vendor_price_lists,SATTI_MALL
3,WIR-COP-7,Copper Wire 7/.029,mtr,82.0,,vendor_price_lists\V015_Allied_Cables_&_Wires_PriceList.xlsx,vendor_price_lists,SATTI_MALL
4,STL-RB16,16mm Steel Rebar,kg,132.0,subject to change,vendor_price_lists\V015_Allied_Cables_&_Wires_PriceList.xlsx,vendor_price_lists,SATTI_MALL
5,ALM-W4,4ft Aluminum Window,nos,13573.0,subject to change,vendor_price_lists\V015_Allied_Cables_&_Wires_PriceList.xlsx,vendor_price_lists,SATTI_MALL
6,COMMODE STANDARD,Commode Standard,nos,12933.0,,vendor_price_lists\V015_Allied_Cables_&_Wires_PriceList.xlsx,vendor_price_lists,SATTI_MALL
7,RIVER_SAND,Sand (Fine),cft,36.0,bulk discount avail.,vendor_price_lists\V015_Allied_Cables_&_Wires_PriceList.xlsx,vendor_price_lists,SATTI_MALL
8,CBL-ARM95,CBL-ARM-95,mtr,830.0,ex-works,vendor_price_lists\V015_Allied_Cables_&_Wires_PriceList.xlsx,vendor_price_lists,SATTI_MALL
9,25KVA GENSET,Generator 25KVA,nos,960275.0,negotiable,vendor_price_lists\V015_Allied_Cables_&_Wires_PriceList.xlsx,vendor_price_lists,SATTI_MALL
