row_no,item_code,description,unit,unit_2,nan,_source_file,_folder,_project,rate,remarks,valid_till,
Pak Steel Traders,,,,,,vendor_price_lists\V001_Pak_Steel_Traders_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
Contact: 03001234567   City: Lahore,,,,,,vendor_price_lists\V001_Pak_Steel_Traders_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
Date: 02/07/2007,,,,,,vendor_price_lists\V001_Pak_Steel_Traders_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
1,MAR-W-IMP,MRB-IMP-W,sft,751,bulk discount avail.,vendor_price_lists\V001_Pak_Steel_Traders_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
2,WIR-COP-7,Copper Wire 7/.029,mtr,83,subject to change,vendor_price_lists\V001_Pak_Steel_Traders_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
3,STEEL BAR 12,STL-RB12,kg,PKR 138,,vendor_price_lists\V001_Pak_Steel_Traders_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
4,SND-RV,River Sand,cft,34,bulk discount avail.,vendor_price_lists\V001_Pak_Steel_Traders_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
5,W.C. STD.,SAN-WC,nos,11626,subject to change,vendor_price_lists\V001_Pak_Steel_Traders_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
6,GENERATOR 25KVA,gen_25kva,nos,877271,inclusive GST,vendor_price_lists\V001_Pak_Steel_Traders_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
7,AGG-CRS34,coarse agg,cft,58,bulk discount avail.,vendor_price_lists\V001_Pak_Steel_Traders_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
8,CEMENT-50,Cement Bag 50Kg,bag,884,negotiable,vendor_price_lists\V001_Pak_Steel_Traders_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
9,BRICKS_A,Class A Brick,1000,13562,ex-works,vendor_price_lists\V001_Pak_Steel_Traders_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
10,SHEESHA 6MM,6mm_glass,sft,223,ex-works,vendor_price_lists\V001_Pak_Steel_Traders_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
11,STL-RB16,STL-RB16,kg,140/-,,vendor_price_lists\V001_Pak_Steel_Traders_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
12,WIR-CP3,wire_3029,mtr,54/-,ex-works,vendor_price_lists\V001_Pak_Steel_Traders_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
13,GI PIPE 1IN,gi_pipe_1inch,rft,PKR 199,subject to change,vendor_price_lists\V001_Pak_Steel_Traders_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
Al-Rehman Hardware,,,,,,vendor_price_lists\V002_Al-Rehman_Hardware_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
Contact: 03111234567   City: Rawalpindi,,,,,,vendor_price_lists\V002_Al-Rehman_Hardware_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
Date: 18/08/2012,,,,,,vendor_price_lists\V002_Al-Rehman_Hardware_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
1,GEN-25K,GEN-25K,nos,995529,,vendor_price_lists\V002_Al-Rehman_Hardware_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
2,REBAR 1/2 INCH,STL-RB12,kg,147,subject to change,vendor_price_lists\V002_Al-Rehman_Hardware_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
3,PLY_MR_12MM,ply_mr_12mm,sht,2116,ex-works,vendor_price_lists\V002_Al-Rehman_Hardware_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
4,4FT ALUMINUM WINDOW,ALU-WIN4,nos,14884,,vendor_price_lists\V002_Al-Rehman_Hardware_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
5,MRB-IMP,MRB-IMP-W,sft,PKR 592,inclusive GST,vendor_price_lists\V002_Al-Rehman_Hardware_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
6,S.BAR 16MM,rebar 5/8 inch,kg,128.0,negotiable,vendor_price_lists\V002_Al-Rehman_Hardware_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
7,RETI (RIVER),Reti (River),cft,32/-,ex-works,vendor_price_lists\V002_Al-Rehman_Hardware_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
8,CERAMIC FLOOR TILE 12X12,"Tile 12x12""",sft,89,,vendor_price_lists\V002_Al-Rehman_Hardware_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
